user_id_new	original_stu_id
0	0
1	1
2	2
3	4
4	8
5	13
6	14
7	17
8	18
9	19
10	20
11	21
12	23
13	26
14	27
15	28
16	31
17	33
18	34
19	35
20	37
21	38
22	41
23	47
24	51
25	53
26	54
27	55
28	56
29	57
30	59
31	60
32	64
33	68
34	70
35	71
36	72
37	73
38	74
39	76
40	78
41	81
42	83
43	85
44	87
45	88
46	89
47	91
48	92
49	93
50	101
51	102
52	104
53	109
54	110
55	111
56	112
57	113
58	117
59	121
60	123
61	127
62	130
63	132
64	134
65	135
66	136
67	137
68	139
69	140
70	141
71	142
72	143
73	144
74	146
75	153
76	154
77	156
78	159
79	160
80	161
81	162
82	163
83	164
84	166
85	171
86	173
87	176
88	177
89	179
90	180
91	181
92	182
93	183
94	185
95	188
96	189
97	191
98	193
99	196
100	198
101	199
102	200
103	201
104	206
105	209
106	211
107	213
108	215
109	216
110	217
111	221
112	224
113	226
114	227
115	228
116	229
117	233
118	236
119	237
120	238
121	239
122	240
123	241
124	245
125	248
126	250
127	251
128	252
129	253
130	254
131	255
132	257
133	258
134	259
135	260
136	263
137	264
138	265
139	266
140	271
141	272
142	274
143	275
144	276
145	279
146	280
147	281
148	284
149	286
150	287
151	289
152	290
153	292
154	293
155	295
156	296
157	298
158	300
159	303
160	304
161	307
162	308
163	310
164	311
165	313
166	314
167	315
168	316
169	317
170	322
171	323
172	326
173	327
174	328
175	329
176	330
177	331
178	332
179	333
180	336
181	338
182	339
183	340
184	344
185	347
186	348
187	349
188	350
189	353
190	354
191	355
192	356
193	357
194	358
195	360
196	361
197	365
198	366
199	368
200	373
201	374
202	375
203	378
204	379
205	380
206	382
207	385
208	386
209	387
210	389
211	390
212	391
213	392
214	395
215	396
216	397
217	399
218	400
219	401
220	402
221	408
222	410
223	411
224	415
225	419
226	426
227	427
228	428
229	430
230	434
231	437
232	438
233	442
234	445
235	447
236	448
237	449
238	450
239	451
240	452
241	453
242	454
243	457
244	458
245	460
246	461
247	462
248	463
249	464
250	465
251	468
252	471
253	473
254	475
255	476
256	479
257	480
258	482
259	484
260	485
261	486
262	489
263	491
264	493
265	494
266	495
267	496
268	497
269	498
270	504
271	505
272	506
273	507
274	508
275	511
276	512
277	513
278	518
279	519
280	521
281	522
282	524
283	525
284	526
285	527
286	531
287	533
288	534
289	535
290	537
291	538
292	541
293	544
294	547
295	549
296	550
297	553
298	554
299	555
300	557
301	558
302	559
303	562
304	564
305	565
306	566
307	567
308	568
309	569
310	571
311	572
312	574
313	575
314	576
315	577
316	579
317	580
318	583
319	584
320	586
321	587
322	588
323	591
324	595
325	596
326	598
327	599
328	601
329	603
330	604
331	607
332	609
333	610
334	611
335	614
336	616
337	617
338	620
339	621
340	623
341	624
342	626
343	628
344	631
345	633
346	634
347	635
348	636
349	638
350	639
351	641
352	643
353	646
354	649
355	650
356	651
357	652
358	657
359	660
360	663
361	665
362	667
363	668
364	669
365	671
366	672
367	676
368	677
369	678
370	681
371	682
372	684
373	687
374	689
375	691
376	693
377	694
378	695
379	696
380	697
381	698
382	699
383	701
384	705
385	706
386	708
387	709
388	710
389	713
390	714
391	716
392	718
393	722
394	723
395	724
396	725
397	726
398	729
399	730
400	731
401	735
402	737
403	738
404	740
405	742
406	743
407	744
408	745
409	747
410	751
411	752
412	754
413	757
414	758
415	759
416	762
417	763
418	767
419	769
420	770
421	771
422	772
423	773
424	775
425	776
426	777
427	778
428	779
429	781
430	783
431	785
432	787
433	789
434	790
435	791
436	793
437	795
438	798
439	801
440	802
441	803
442	804
443	806
444	807
445	808
446	809
447	811
448	812
449	814
450	815
451	818
452	819
453	821
454	822
455	823
456	824
457	826
458	827
459	828
460	829
461	830
462	831
463	832
464	834
465	836
466	837
467	842
468	843
469	844
470	846
471	847
472	848
473	850
474	851
475	853
476	855
477	859
478	861
479	862
480	863
481	864
482	865
483	866
484	867
485	868
486	869
487	870
488	871
489	872
490	875
491	876
492	877
493	878
494	881
495	882
496	883
497	884
498	885
499	887
500	888
501	889
502	890
503	892
504	894
505	895
506	896
507	897
508	899
509	900
510	902
511	905
512	906
513	908
514	909
515	911
516	912
517	913
518	914
519	915
520	918
521	919
522	920
523	921
524	922
525	926
526	927
527	929
528	930
529	934
530	938
531	940
532	945
533	946
534	950
535	951
536	952
537	957
538	959
539	960
540	963
541	966
542	969
543	970
544	972
545	976
546	977
547	978
548	980
549	981
550	983
551	985
552	986
553	987
554	989
555	990
556	991
557	992
558	995
559	996
560	997
561	999
562	1000
563	1001
564	1002
565	1003
566	1005
567	1009
568	1010
569	1012
570	1013
571	1014
572	1019
573	1022
574	1025
575	1026
576	1027
577	1029
578	1030
579	1031
580	1032
581	1033
582	1035
583	1037
584	1038
585	1040
586	1047
587	1048
588	1050
589	1052
590	1058
591	1063
592	1066
593	1068
594	1069
595	1070
596	1071
597	1074
598	1075
599	1078
600	1079
601	1080
602	1081
603	1083
604	1084
605	1085
606	1086
607	1089
608	1091
609	1092
610	1096
611	1099
612	1100
613	1103
614	1105
615	1106
616	1107
617	1110
618	1111
619	1120
620	1121
621	1122
622	1124
623	1125
624	1128
625	1130
626	1131
627	1132
628	1134
629	1137
630	1138
631	1140
632	1141
633	1142
634	1143
635	1145
636	1147
637	1148
638	1149
639	1150
640	1153
641	1154
642	1155
643	1156
644	1157
645	1160
646	1161
647	1163
648	1164
649	1165
650	1166
651	1171
652	1172
653	1174
654	1175
655	1177
656	1178
657	1179
658	1183
659	1186
660	1187
661	1188
662	1189
663	1190
664	1191
665	1192
666	1193
667	1196
668	1199
669	1200
670	1204
671	1205
672	1207
673	1209
674	1210
675	1214
676	1215
677	1220
678	1221
679	1224
680	1226
681	1230
682	1232
683	1234
684	1235
685	1236
686	1240
687	1242
688	1244
689	1245
690	1249
691	1250
692	1252
693	1254
694	1256
695	1258
696	1259
697	1261
698	1264
699	1267
700	1268
701	1269
702	1270
703	1271
704	1272
705	1274
706	1276
707	1278
708	1279
709	1281
710	1282
711	1285
712	1286
713	1287
714	1289
715	1292
716	1294
717	1296
718	1298
719	1299
720	1300
721	1301
722	1302
723	1304
724	1306
725	1313
726	1314
727	1315
728	1316
729	1317
730	1318
731	1319
732	1320
733	1322
734	1323
735	1324
736	1325
737	1329
738	1330
739	1333
740	1335
741	1336
742	1339
743	1340
744	1341
745	1345
746	1346
747	1348
748	1351
749	1352
750	1354
751	1355
752	1358
753	1359
754	1360
755	1361
756	1363
757	1364
758	1368
759	1369
760	1371
761	1374
762	1375
763	1376
764	1379
765	1380
766	1381
767	1382
768	1383
769	1384
770	1386
771	1390
772	1391
773	1392
774	1393
775	1394
776	1395
777	1396
778	1404
779	1405
780	1406
781	1407
782	1408
783	1410
784	1412
785	1413
786	1414
787	1415
788	1418
789	1419
790	1420
791	1421
792	1423
793	1425
794	1426
795	1427
796	1428
797	1429
798	1430
799	1431
800	1433
801	1435
802	1436
803	1437
804	1440
805	1441
806	1443
807	1444
808	1445
809	1447
810	1449
811	1450
812	1452
813	1453
814	1456
815	1457
816	1458
817	1460
818	1461
819	1462
820	1463
821	1464
822	1465
823	1467
824	1469
825	1470
826	1472
827	1473
828	1474
829	1476
830	1479
831	1480
832	1481
833	1482
834	1483
835	1486
836	1487
837	1489
838	1491
839	1493
840	1494
841	1495
842	1499
843	1501
844	1502
845	1503
846	1504
847	1508
848	1509
849	1510
850	1511
851	1514
852	1518
853	1519
854	1520
855	1521
856	1522
857	1523
858	1524
859	1526
860	1527
861	1528
862	1529
863	1531
864	1532
865	1533
866	1536
867	1537
868	1539
869	1541
870	1542
871	1543
872	1544
873	1545
874	1546
875	1547
876	1549
877	1550
878	1551
879	1553
880	1555
881	1557
882	1558
883	1561
884	1562
885	1564
886	1567
887	1568
888	1572
889	1573
890	1574
891	1576
892	1577
893	1578
894	1579
895	1580
896	1581
897	1582
898	1584
899	1585
900	1589
901	1593
902	1594
903	1596
904	1597
905	1599
906	1600
907	1602
908	1605
909	1608
910	1610
911	1611
912	1612
913	1613
914	1614
915	1615
916	1616
917	1617
918	1619
919	1622
920	1625
921	1626
922	1627
923	1628
924	1630
925	1631
926	1632
927	1633
928	1634
929	1636
930	1638
931	1639
932	1640
933	1641
934	1642
935	1648
936	1649
937	1651
938	1652
939	1653
940	1654
941	1656
942	1657
943	1659
944	1661
945	1662
946	1664
947	1668
948	1669
949	1670
950	1671
951	1674
952	1676
953	1677
954	1678
955	1679
956	1680
957	1681
958	1682
959	1683
960	1684
961	1687
962	1688
963	1690
964	1692
965	1693
966	1694
967	1696
968	1698
969	1699
970	1701
971	1703
